State_name,lon,lat
ANDAMAN AND NICOBAR ISLANDS,92.95318022,11.25622828
ANDHRA PRADESH,79.96286444,15.75367847
ARUNACHAL PRADESH,94.53430769,27.927696
ASSAM,92.82669321,26.35672085
BIHAR,85.68586352,25.59593289
CHHATTISGARH,82.04141113,21.24363845
GOA,74.05401753,15.36378044
GUJARAT,71.59165039,22.69275188
HARYANA,76.339722,29.19800618
HIMACHAL PRADESH,77.24308412,31.92570454
JAMMU AND KASHMIR,75.1103556,33.56453831
JHARKHAND,85.5634762,23.65560411
KARNATAKA,76.16742459,14.71001471
KERALA,76.40771257,10.45152408
LADAKH,77.57734004,33.96878025
MADHYA PRADESH,78.28919076,23.53842697
MAHARASHTRA,76.11345044,19.45229606
MANIPUR,93.87973067,24.73544915
MEGHALAYA,91.27673303,25.53484623
MIZORAM,92.83224612,23.30828043
NAGALAND,94.45216464,26.05956165
ODISHA,84.42582759,20.51180302
PUDUCHERRY,79.75832567,11.56778114
PUNJAB,75.41505948,30.84253084
RAJASTHAN,73.84964923,26.58448386
TAMIL NADU,78.35248508,10.94122266
TELANGANA,79.00950841,17.80203931
TRIPURA,91.72054933,23.71427211
UTTAR PRADESH,80.56537038,26.92369997
UTTARAKHAND,79.20632335,30.156972
WEST BENGAL,87.97406089,23.77164511
SIKKIM,88.5,27.4
